n,year,CO2 feed,CO2 compression,H2 production,H2 compression,Power,Heating,CW,Steam,Operator,Maintenance,Overhead,CO2 ETS,FCI,Naphta Fossil,Naphtha ETS,Naphtha RED,Kero Fossil,Kero ETS, Kero RED,Kero ReFuel,Diesel Fossil,Diesel ETS,Diesel RED,Loan Annuity,Residual Debt,Interests,Principal Rep,Dep,Profit,Tax,DF,OCF,DCF,CCF
10.0,2039.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,5.529727786779404e-10,3402.3558675720556,85058.89668930083,102500.0,0.0,0.0,2.2856431264644868,13488.16411987222,5901.255521344747,-219461.94140324794
11.0,2040.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,5.75091689825058e-10,2.2118911147117615e-11,-2.2118911147117615e-11,0.0,101949.41667674508,29565.33083625607,2.4826143655596926,72384.08584048905,29156.395308366962,-190305.54609488096
12.0,2041.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,5.980953574180604e-10,2.3003667593002322e-11,-2.3003667593002322e-11,0.0,101949.41667674508,29565.33083625607,2.69656011330915,72384.08584048905,26843.11967800382,-163462.42641687713
13.0,2042.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,6.220191717147829e-10,2.3923814296722418e-11,-2.3923814296722418e-11,0.0,101949.41667674508,29565.33083625607,2.9289431921298608,72384.08584048905,24713.379909513707,-138749.04650736344
14.0,2043.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,6.468999385833742e-10,2.4880766868591315e-11,-2.4880766868591315e-11,0.0,101949.41667674508,29565.33083625607,3.1813524869639513,72384.08584048905,22752.614222125096,-115996.43228523835
15.0,2044.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,6.727759361267091e-10,2.5875997543334967e-11,-2.5875997543334967e-11,0.0,101949.41667674508,29565.33083625607,3.455513809044536,72384.08584048905,20947.4161703621,-95049.01611487626
16.0,2045.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,6.996869735717775e-10,2.6911037445068365e-11,-2.6911037445068365e-11,0.0,101949.41667674508,29565.33083625607,3.753301695874853,72384.08584048905,19285.44297945575,-75763.5731354205
17.0,2046.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,7.276744525146486e-10,2.79874789428711e-11,-2.79874789428711e-11,0.0,101949.41667674508,29565.33083625607,4.076752228101278,72384.08584048905,17755.331153446496,-58008.24198197401
18.0,2047.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,7.567814306152345e-10,2.910697810058594e-11,-2.910697810058594e-11,0.0,101949.41667674508,29565.33083625607,4.428076950913699,72384.08584048905,16346.618778960732,-41661.62320301328
19.0,2048.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,7.870526878398439e-10,3.0271257224609384e-11,-3.0271257224609384e-11,0.0,101949.41667674508,29565.33083625607,4.80967799515876,72384.08584048905,15049.673993424953,-26611.94920958833
20.0,2049.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,8.185347953534377e-10,3.148210751359375e-11,-3.148210751359375e-11,0.0,101949.41667674508,29565.33083625607,5.224164501554354,72384.08584048905,13855.629128629564,-12756.320080958765
21.0,2050.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,0.0,8.512761871675751e-10,3.274139181413751e-11,-3.274139181413751e-11,0.0,101949.41667674508,29565.33083625607,5.674370460303504,72384.08584048905,12756.320079358627,-1.6001376934582368e-06
