run,ratio,co2,h2,naphtha,kero,status,time,debug_file
0,0.3709376955939997,42.5913985682783,114.820896,2.3323750615373733,1.5338764880925941,ok,2026-02-12 17:54:48,
1,0.31175110687170665,35.795541420001115,114.820896,2.332428704075593,1.5338566229529116,ok,2026-02-12 17:55:54,
2,0.3195471891161132,36.690694568593564,114.820896,2.332463948916797,1.5338484194372235,ok,2026-02-12 17:57:00,
3,0.37704978134210704,43.293193730304814,114.820896,2.332485943858718,1.533842171299333,ok,2026-02-12 17:58:02,
4,0.3034492022417598,34.84230929188407,114.820896,2.3325014989503767,1.533808459681475,ok,2026-02-12 17:59:03,
5,0.30170592811373226,34.64214499453033,114.820896,2.332509856972571,1.533774388584241,ok,2026-02-12 18:00:08,
6,0.34054333376303875,39.10149070949916,114.820896,2.332514163559376,1.5337702562272881,ok,2026-02-12 18:01:11,
7,0.3351520557094602,38.48245933280214,114.820896,2.3325182306139154,1.5337719516137973,ok,2026-02-12 18:02:17,
8,0.3597085516242241,41.30205819635567,114.820896,2.3325215722119843,1.5337508068931491,ok,2026-02-12 18:03:18,
9,0.3513628700902778,40.343799564897296,114.820896,2.3325223153784367,1.533729001304226,ok,2026-02-12 18:04:19,
10,0.31494184926533925,36.1619053205432,114.820896,2.332521961538519,1.5337326198681869,ok,2026-02-12 18:05:22,
11,0.31353849050936666,36.00077041077298,114.820896,2.33252290770224,1.533740246692308,ok,2026-02-12 18:06:26,
12,0.3571917622896008,41.01307818991098,114.820896,2.3325241770062592,1.5337269127024418,ok,2026-02-12 18:08:15,
13,0.3438115947411168,39.47675536336392,114.820896,2.3325237956252507,1.5337120535114153,ok,2026-02-12 18:10:10,
14,0.34470569877815394,39.57941719001374,114.820896,2.3325228637119473,1.533718566627589,ok,2026-02-12 18:11:17,
15,0.31826501827595355,36.54347456390136,114.820896,2.332523323465764,1.5337278710063829,ok,2026-02-12 18:12:19,
16,0.34858143223078397,40.0244323777019,114.820896,2.332524222899665,1.5337183100668765,ok,2026-02-12 18:13:26,
17,0.32761053705416837,37.616535403600814,114.820896,2.3325237780431594,1.5337069361634463,ok,2026-02-12 18:14:29,
18,0.3384218631094923,38.85790154822125,114.820896,2.332522911591011,1.5337138857456836,ok,2026-02-12 18:15:59,
19,0.2988182673458404,34.31058119781694,114.820896,2.332523399035513,1.5337205911242118,ok,2026-02-12 18:17:31,
