EE,BRENT,ETS1,ETS2,CAPEX,ReFuel,Electrolyzer_eff,Stack_life,CO2_capture_cost,OPEX_mult,WACC,Utilization,H2_compr_energy,BEP,IRR,VAN,err,LCOH_total
0.09862034938621593,88.74605724218699,102.89957591366348,52.756335658842055,1043320.6129759768,,0.6953099242673463,55102.11162185456,91.53371033761728,0.9419804798394299,0.08595290192576198,0.7730033330300953,1661.4235849408376,4940.073803841511,,,,
0.10081303056294036,85.6443188681128,103.55078403157934,45.68905963586564,1065440.9851916484,,0.6930900624979686,58650.01369605808,103.07184609277797,1.08954750922624,0.08485868504973856,0.80529728283776,1634.029547427522,5120.920180231231,,,,
0.09319494804728412,88.27852347857461,100.35884245959505,45.68866471535815,987719.3120542124,,0.6893052100094571,64751.86355919156,98.83700226375949,0.9851616366582909,0.09223746445875014,0.8583976036985379,1663.7574385861874,4722.531800542051,,,,
0.09760013724644477,83.17141531014398,96.08480058219897,53.129666882296746,976868.6028833854,,0.6906415216895514,62589.85548630212,102.92022877724342,1.0095762394365488,0.09112823041958434,0.9132463813666554,1755.5719879608082,4778.672896751957,,,,
0.10202994641413712,78.77402140373269,99.38168942204607,47.94880670159617,1035006.213629877,,0.6947154855575611,56049.95257185017,90.92198257167703,0.9695764725998733,0.0827995410168064,0.814807974598154,1687.9855122280512,4966.985360569072,,,,
0.10282841488500712,80.88404670199509,108.34754922798231,45.398049246478365,1044569.2195774745,,0.6906087764730412,62642.733712834146,106.66127318168495,0.9045430796481464,0.08751205396893336,0.8226483515983493,1456.4935192302166,5024.989391378051,,,,
0.1049560327678003,85.95014369419317,97.45472095492767,47.46557023857726,943505.4761877906,,0.6947750219481849,55954.947865790484,92.50738912191446,0.9491659312878236,0.08744968622546716,0.867547171407271,1738.1128302284264,4837.142996290868,,,,
0.10409883216889391,80.4430408375161,108.2660774784284,52.02371161339623,965841.0817761876,,0.690489940849375,62834.67614481351,103.9782890910248,1.018021493482187,0.09409950634821822,0.8973124036704574,1648.5056773178976,4832.832445125537,,,,
0.09106180132405074,84.35469133391642,103.2706712454315,50.76767664181623,1047305.0932041315,,0.6959370951768102,54103.83411807878,101.37813376639258,0.942798352563557,0.08491123022365013,0.840056578041099,1487.2290561858413,4794.456823629815,,,,
0.09018629594141853,80.75103149962385,93.40312080828312,53.829691305520676,1092740.59185016,,0.6889233431679428,65371.22373936534,97.91979361061584,1.042081608082022,0.08749480850967586,0.7943995410481749,1599.3975871207927,4916.438809967036,,,,
0.10176361716539631,76.62408116508077,95.76464791623918,50.2424256493442,1062557.587929804,,0.6919227937356281,60524.73772741029,101.30029319509258,1.0045923636504026,0.09229989727876908,0.88986917550487,1714.7463706399124,4993.582019120409,,,,
0.09293530341518456,85.38012052820204,109.94346012594607,50.83953463250995,1021438.8544727612,,0.6925068236097423,59585.95052512959,98.49085903683199,1.0552835640368803,0.08923749374391583,0.882146646709314,1600.9538088836766,4742.040613890227,,,,
0.10104211236097932,87.62009334878567,93.76795632108413,54.30691403733937,943639.4937213771,,0.6921334525213613,60185.93578517283,104.46624797693968,0.9796722703077876,0.08856598798105397,0.9032034006387386,1539.492690641848,4804.497172651955,,,,
0.09054524225239613,81.51208528290074,92.99425456867318,52.73075492951587,1063228.4675866421,,0.6920007492515684,60399.338043837044,102.89579083274197,1.0065688277920952,0.09212912957364826,0.7783439812526254,1505.5051946945357,4866.996871412799,,,,
0.09619071640891877,77.13436232515461,93.42374291883586,54.84689295660006,982178.5148414895,,0.6947104816811605,56057.93820831003,108.4154614553819,0.9715084815101229,0.0883791392566098,0.8053369637983636,1691.0927145169692,4820.5711758305115,,,,
0.10553340649831998,79.96228243701786,99.97249858807494,51.27686945856299,1048743.9513574918,,0.6901067902972631,63453.988282456194,97.30522071378614,1.0753287341015625,0.09284104302850525,0.9093616027138932,1496.8088668616733,5000.291222836743,,,,
0.09023945623559489,81.48666807693232,103.9390647097207,54.76037634888529,939926.2622723363,,0.6893824548914512,64626.66142857997,98.33495070213245,0.985163235308376,0.08832872752878225,0.8638423406318286,1515.1506106572567,4518.449860473645,,,,
0.10084126331563942,87.2046008079918,94.87822725507783,52.13168825417779,1054189.630616197,,0.690966405016053,62065.49301835227,102.47462926484765,1.018053821399416,0.08031002790187011,0.799416008563406,1747.4694645673424,5127.571726171786,,,,
0.10772280329663703,76.8206982277768,96.06961377712004,47.71306086916008,965004.4388115618,,0.6948887074461436,55773.58038927131,101.9626294001992,0.9336519599207428,0.09435411560896134,0.8555286699350257,1573.6156706498375,4905.3791110185075,,,,
0.09007224979590828,88.21435175342802,97.43445850954332,50.07528434695882,1121725.9734307297,,0.6931312543219971,58583.97178043987,97.29655228183205,1.0152739607531978,0.09316828949141431,0.901479544144574,1677.8004230680654,4881.1687206197,,,,
0.09566390992305225,80.60554318618989,105.73871425505249,53.19862399158632,1000127.7572659843,,0.690718577909361,62465.441939690674,108.47100422879272,0.9968950462553432,0.09112067311424327,0.8226170630522595,1491.3974477352956,4800.604156057866,,,,
0.09050854196341401,84.01294711958552,91.12496249546757,45.187180646452084,1118214.9356918272,,0.6925373219016576,59536.97015423184,109.60956970915205,1.0507188887676888,0.08864426972584956,0.8858613456591059,1542.5041228686316,4999.557269094585,,,,
0.10872763406442632,76.14658804724218,102.17243828874896,48.252926172432524,1089545.4473898024,,0.6919583309536295,60467.568853324025,99.01836725409488,0.9953663653826276,0.0868282687925128,0.7716077529374697,1576.8307584374058,5251.752536144361,,,,
